90	94	96	98	100	102	104	106	108	110	114																															
0	3	0	2	53	2	94	21	1	4	0																															
246	250	254	258	270	278	292	296	300	308	312	316	320	324	328	332	336	340	344	348	352	356	360	364	368	372	376	384														
0	0	0	0	1	0	0	1	0	0	1	7	4	3	7	18	19	32	22	20	12	21	5	14	3	0	0	0														
203	207	211	215	219	223	227	231	235	239	243	247	251	255																												
0	5	9	4	17	23	18	36	32	22	15	6	2	1																												
162	166	170	174	178	182	186	190	194	198	202	206	210	214	218	258	262	266	270	274	278	282	286	290	294	298	302	306	310	314	318	322	326	330	334	338	342	346	350	354	358	362
0	0	0	0	0	0	0	3	1	1	0	2	10	1	2	1	2	2	1	2	13	10	7	20	10	13	7	24	19	9	8	4	2	4	1	1	0	0	2	2	2	0
124	128	129	132	136	140	144	148																																		
16	128	0	25	4	11	2	0																																		
172	176	180	184	188	192	194	196	200	204	208	212	216	220	224	228	232	236	240	244	248	252	256	260	268	272																
1	1	2	11	7	25	2	31	14	37	8	22	7	7	2	0	4	4	2	1	1	1	0	0	0	0																
218	226	230	234	238	242	246	250	254	256	258	262	266	270	274	278	282	286	290	294																						
1	1	3	6	44	29	15	22	15	1	16	15	4	9	6	1	0	1	1	0																						
128	186	194	198	202	206	210	214	230	234	238	242	246	250	254	258	262	266	270	274	278	282	286	290	294	298	302	306	310	326	338	342	350									
0	1	2	33	61	14	8	0	2	2	2	0	6	0	0	0	0	3	7	3	16	8	5	2	3	4	0	0	0	0	1	0	1									
171	215	219	223	227	231	235	239	243	247	251	255	259	263	267	271	275	279	283	287	291	295	299	307	344																	
2	4	5	1	0	6	7	6	19	25	18	12	14	29	11	9	11	3	3	2	1	0	0	0	2																	
173	177	181	185	189	193	197	201	205	209	213	217	221	225	229	233	237	253																								
2	1	3	1	2	3	17	14	12	35	37	30	18	8	1	2	0	0																								
133	145	149	153	157	161	165	169	173	177	181	185	189	193	197	201	205	209	213																							
1	0	4	2	24	53	3	6	4	9	11	12	5	11	4	4	32	1	0																							
80	106	110	114	118	122																																				
21	1	47	99	18	4																																				
112	114	116	118	120	128	130	132																																		
0	3	84	5	4	87	7	0																																		
